Id,Name,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,MasterRecordId,Type,RecordTypeId,ParentId,Phone,Fax,Website
0018V00002coWMeQAM,"MML Investors Services, LLC",Two Bala Plaza Suite 901,Bala Cynwyd,PA ,19004,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMfQAM,"Sageview Advisory Group, LLC",114 State Street Suite 501,Boston,MA,02109,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMgQAM,"Raymond James & Associates, Inc.",516 Tennessee Street,Memphis,TN,38103,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMhQAM,"Mutual Securities, Inc.",1801 Kingwood Drive Suite 160,Kingwood,TX ,77339,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMiQAM,"M Holdings Securities, Inc.",1000 Westlakes Drive Suite 200,Berwyn,PA,19312,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMjQAM,"Wells Fargo Advisors Financial Network, LLC",555 Second Avenue,Collegeville,PA ,19426,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMkQAM,"Wells Fargo Clearing Services, LLC",1250 Broadcasting Road,Wyomissing,PA ,19610,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMlQAM,"Securian Financial Services, Inc.",900 Prides Crossing,Newark,DE,19713,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMmQAM,"Kestra Investment Services, LLC",375 Passaic Avenue,Fairfield,NJ,07004,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coWMnQAM,"Cetera Investment Services, LLC",117 South Allen Street,State College,PA,16801,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002coi8BQAQ,Virginia Asset Group,607 Lynnhaven Parkway,Virginia Beach,VA,23452,United States,,,,,,,,0128V000000WuaQQAS,,(757) 747-2556,,virginiaassetgroup.com
0018V00002coiPWQAY,Northumberland Public Library,7204 Northumberland Highway,Heathsville,VA,22473,United States,7204 Northumberland Highway,Heathsville,VA,22473,United States,,,0128V000000WueSQAS,,(804) 580-5051,,nplva.org
0018V00002copG0QAI,Bellevue Strategies,200 South Broad Street,Philadelphia,PA,19102,United States,200 South Broad Street,Philadelphia,PA,19102,United States,,,0128V000000WueSQAS,,,,
0018V00002copv4QAA,"Capital Group Companies, Inc.",3500 Wiseman Boulevard,San Antonio,TX,78251,United States,,,,,,,,0128V000000WuaWQAS,,,,www.capitalgroup.com
0018V00002coqOAQAY,Trinity Pension Group,4196 Mendenhall Oaks Parkway,High Point,NC,27265,United States,,,,,,,,0128V000000WuaXQAS,,,,
0018V00002cp1WUQAY,Your Tax Geeks,370 West Grand Boulevard,Corona,CA,92882,United States,370 West Grand Boulevard,Corona,CA,92882,United States,,,0128V000000WueSQAS,,(951) 356-1295,,
0018V00002cp8ngQAA,"Kathmere Capital Management, LLC",435 Devon Park Drive Suite 715,Wayne,PA,19087,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cp8nhQAA,"Hub International Investment Services, Inc.",9200 Ward Parkway Suite 500,Kansas City,MO,64114,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cp8niQAA,"Raymond James Financial Services, Inc.",880 Carillon Parkway,St Petersburg,FL,33716,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cpGtVQAU,Kornemann And Colleagues,2101 Gaither Road,Rockville,MD,20850,United States,2101 Gaither Road,Rockville,MD,20850,United States,,,0128V000000WuaQQAS,,(301) 610-0070,,
0018V00002cpH1iQAE,"Project On Government Oversight, Inc.",1100 G Street NW,Washington,DC,20005,United States,1100 G Street Northwest,Washington,DC,20005,United States,,,0128V000000WueSQAS,,(202) 347-1122,,www.pogo.org
0018V00002cpN2wQAE,GWN Securities,,,,,,,,,,,,,0128V000000WueSQAS,,,,
0018V00002cpntAQAQ,"Cetera Advisor Networks, LLC",2301 Rosecrans Avenue #5100,El Segundo,CA,90245,United States,,,,,,,,0128V000000WuaQQAS,,(310) 326-3100,,
0018V00002cppj5QAA,7:12 Financial,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002ZVT9xQAH,,,
0018V00002cppj6QAA,901 Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMgQAM,,,
0018V00002cppj7QAA,Aegis Wealth,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppj8QAA,Anderson Financial,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppj9QAA,Ascent Wealth,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjAQAQ,Beacon Group,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjBQAQ,Biddle Capital Management,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjCQAQ,BIRE Financial Services,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjDQAQ,Bleakley Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjEQAQ,Botkin Family Wealth Management,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjFQAQ,Cadence Financial Management,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMeQAM,,,
0018V00002cppjGQAQ,Capital Directions,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjHQAQ,Capital Planning,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjIQAQ,Christian Brothers Investment Services,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjJQAQ,Clearview Investment Partners,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjKQAQ,"Comprehensive Benefit Services, Inc.",,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjLQAQ,Cooper Eagle,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjMQAQ,Creative Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMeQAM,,,
0018V00002cppjNQAQ,Diamond State Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMlQAM,,,
0018V00002cppjOQAQ,Dimatteo Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjPQAQ,Ennea Wealth Solutions,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjQQAQ,Fiduciary Financial Partners,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjRQAQ,Financial Directions Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMaQAM,,,
0018V00002cppjSQAQ,Financial Guide,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMeQAM,,,
0018V00002cppjTQAQ,"Financial Management Network, Inc.",,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjUQAQ,Fintrust Capital Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjVQAQ,First Citizens Bank,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjWQAQ,Foster Group,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjXQAQ,Greenspring Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjYQAQ,Gross Investments,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjZQAQ,Harvest Financial Planning,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjaQAA,"Hauser, Inc.",,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjbQAA,Heights Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002cpntAQAQ,,,
0018V00002cppjcQAA,Highpoint Financial,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjdQAA,"Horan Securities, Inc.",,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjeQAA,Huntington Kraus Financial Group (Wells Fargo),,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjfQAA,Independence Square,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjgQAA,Integrity Wealth Management And Retirement,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMmQAM,,,
0018V00002cppjhQAA,Ironview Capital Management,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjiQAA,Janney Montgomery Scott,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjjQAA,Kyle Kranzley - LPL,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjkQAA,Legacy Planning Partners,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjlQAA,"Leonard Brodsky & Associates, Inc.",,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002aH6SlQAK,,,
0018V00002cppjmQAA,M3 Financial,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjnQAA,MAP Retirement,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjoQAA,Masso-Torrence Wealth,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjpQAA,Merrill Lynch,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjqQAA,Mid-Atlantic Planning,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjrQAA,Mike Brady And Associates,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppjsQAA,Morgan Stanley,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjtQAA,Newton One Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjuQAA,Note Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjwQAA,Pelican Investment Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjxQAA,PFG Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMcQAM,,,
0018V00002cppjyQAA,"Polaris Advisors, LLC",,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppjzQAA,Preferred Financial Partners,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppk0QAA,Quaker Wealth Management,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppk1QAA,Raffa Retirement Services,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002cp8nhQAA,,,
0018V00002cppk2QAA,Raymond James,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002cp8niQAA,,,
0018V00002cppk3QAA,RBC Wealth Management,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppk4QAA,Rivers Edge Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppk5QAA,RPS Retirement Plan Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppk6QAA,Sageview,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMfQAM,,,
0018V00002cppk7QAA,"Secure Planning Group, LLC",,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMZQA2,,,
0018V00002cppk8QAA,Shepherd Financial,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppk9QAA,Spectrum Invmestment Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkAQAQ,Stephens | Heffner Financial Partners,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkBQAQ,Stonebridge Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMbQAM,,,
0018V00002cppkCQAQ,Strategic Financial Solutions,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkDQAQ,TAG Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkEQAQ,The Emrick Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMeQAM,,,
0018V00002cppkFQAQ,The Plan Advocate,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkGQAQ,Trinity Advisors Group,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkHQAQ,Trinity Investment Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkIQAQ,Trinity Wealth Management,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkJQAQ,US Financial Services,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMmQAM,,,
0018V00002cppkKQAQ,V Wealth,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkLQAQ,Valley Forge Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMiQAM,,,
0018V00002cppkMQAQ,Veery Capital,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkNQAQ,Vermillion And White,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkOQAQ,Vivaldi Capital Management,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkPQAQ,Walsh & Nicholson Financial Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMbQAM,,,
0018V00002cppkQQAQ,Wealth Advisory Group,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkRQAQ,Wealth Enhancement Group,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkSQAQ,Wells Fargo Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMjQAM,,,
0018V00002cppkTQAQ,Wert Investment Consulting Group,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMkQAM,,,
0018V00002cppkUQAQ,Wharton Business Group,,,,,,,,,,,,,0128V000000WuaQQAS,,,,
0018V00002cppkVQAQ,Whartonhill Advisors,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002cp8nhQAA,,,
0018V00002cppkWQAQ,Wise Capital Partners,,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002coWMhQAM,,,
0018V00002e4j3UQAQ,"Cetera Advisor Networks, LLC",75 Larsen Drive,Dubois,PA,15801,,,,,,,,,0128V000000WuaQQAS,,(814) 371-2141,,
0018V00002e71gdQAA,Greenhouse E3,116 Shore Drive,Portland,TX,78374,United States,,,,,,,,0128V000000WueSQAS,,,,
0018V00002e7638QAA,Southern Arizona AIDS Foundation,,,,,,375 South Euclid Avenue,Tucson,AZ,85719,United States,,,0128V000000WueSQAS,,,,
0018V00002f2GSdQAM,Lincoln Investment Pl,601 Office Center Drive,Fort Washington,PA,19034,United States,,,,,,,,0128V000000WuaQQAS,,,,www.lincolninvestment.com
0018V00002f2GUGQA2,"Legend Advisory, LLC",,,,,,,,,,,,,0128V000000WuaQQAS,0018V00002f2GSdQAM,,,
0018V00002f2GeyQAE,The Metro Bureau,,,,,,,,,,,,,0128V000000WueSQAS,,,,
0018V00002f2PueQAE,"Cambridge Investment Research, Inc.",1776 Pleasant Plain Road,Fairfield,IA,52556,United States,,,,,,,,0128V000000WuaQQAS,,(641) 472-5100,,www.joincambridge.com/home/
0018V00002f2PvSQAU,Langan Financial Group,1863 Center Street,Camp Hill,PA,17011,,,,,,,,,0128V000000WuaQQAS,,(717) 72881880,,
0018V00002f2Pw6QAE,Commonwealth Charter Academy,One Innovation Way,Harrisburg,PA,17110,,,,,,,,,0128V000000WueSQAS,,(833) 978-0738,,
0018V00002f2hWnQAI,"True Prodigy, LLC",5900 South Lake Forest Drive Suite 300,Mckinney,TX,75070,,,,,,,,,0128V000000WueSQAS,,(972) 28060668,,
0018V00002f2puDQAQ,Massachusetts Mutual Life Insurance,1295 State Street,Springfield,MA,01109,United States,,,,,,,,0128V000000WuaQQAS,,(413) 744-8411,,www.massmutual.com
0018V00002f2rfBQAQ,Floyd Valley Hospital DBA Floyd Valley Healthcare,714 Lincoln Street Northeast,Le Mars,IA,51031,United States,,,,,,,,0128V000000WueSQAS,,(712) 25463389,,
0018V00002f4POeQAM,Church of Christ MEP,,,,,,,,,,,,,0128V000000WueSQAS,,,,
0018V00002g6eP8QAI,Pinnacle Advisor Group,2851 South Pike Avenue,Allentown,PA,18103,United States,,,,,,,,0128V000000WuaQQAS,,(610) 797-2201,,www.pinnacleadvisorgrp.com
0018V00002g6hP2QAI,Compass Pointe,306 South New Street,Bethlehem,PA,18015,United States,,,,,,,,0128V000000WueSQAS,,(610) 03360514,,
0018V00002g8LU5QAM,Stark County Community Action Agency,1366 Market Avenue North,Canton,OH,44714,United States,,,,,,,,0128V000000WueSQAS,,(330) 454-1676,,
0018V00002g8LfuQAE,Harcatus Tri-County Community Action Organization,821 Anola Avenue,Dover,OH,44622,United States,,,,,,,,0128V000000WueSQAS,,(740) 922-0933,,
0018V00002h7Zv2QAE,Aim Wealth Partners,2850 North Swan Road,Tucson,AZ,85712,United States,,,,,,,,0128V000000WuaQQAS,0018V00002ZVT9xQAH,(520) 904-5858,,
0018V00002h7aIeQAI,Round Valley Fire & Medical Department,1300 North Eagar Street,Eagar,AZ,85925,United States,,,,,,,,0128V000000WueSQAS,,,,
0018V00002hdXZzQAM,"Verity Investments, Inc.",280 South Mangum Street,Durham,NC,27701,United States,,,,,,,,0128V000000WuaQQAS,,(919) 452-2851,,www.verityinvest.com
0018V00002hdY3LQAU,Synergy Magnet K-12,2810 South Us Highway 1,Fort Pierce,FL,34982,United States,,,,,,,,0128V000000WueSQAS,,(772) 801-5522,,
0018V00002hdklxQAA,Thrivent Financial For Lutherans,625 South 4Th Avenue,Minneapolis,MN,55415,United States,,,,,,,,0128V000000WuaQQAS,,(612) 844-7000,,www.thrivent.com
0018V00002hdklyQAA,Valued Church Client Of Brian Hamm,200 Brandywine Road,Collegeville,PA,19426,United States,,,,,,,,0128V000000WueSQAS,,(610) 416-3191,,
0018V00002iuDxgQAE,Edmund Burke School,,,,,,,,,,,,,0128V000000WueSQAS,,,,
0018V00002iuGfsQAE,Ruth Keeler Memorial Library,276 Titicus Road,North Salem,NY,10560,United States,,,,,,,,0128V000000WueSQAS,,(914) 669-5161,,
0018V00002iuspPQAQ,Spectrum Financial Group,13455 Noel Road,Dallas,TX,75240,United States,,,,,,,,0128V000000WuaQQAS,0018V00002coWMeQAM,(972) 905-9951,,
0018V00002iusqDQAQ,Eagle Solder,420 Dowdy Ferry Road,Hutchins,TX,75141,United States,,,,,,,,0128V000000WueSQAS,,(972) 225-5250,,
0018V00002iuzDNQAY,Dearborn & Creggs,77 Sugar Creek Center Boulevard,Sugar Land,TX,77478,United States,,,,,,,,0128V000000WuaQQAS,0018V00002ZVT9xQAH,(832) 944-8939,,
0018V00002iuzEkQAI,Pecan Grove Volunteer Fire Department,727 Pitts Road,Richmond,TX,77406,United States,,,,,,,,0128V000000WueSQAS,,(281) 341-6677,,
0018V00002iv7pZQAQ,Regina Angelorum Academy,105 Argyle Road,Ardmore,PA,19003,United States,,,,,,,,0128V000000WueSQAS,,,,
0018V00002k1dqAQAQ,Diamondback Carports,3942 West Lincoln Street,Phoenix,AZ,85009,United States,,,,,,,,0128V000000WueSQAS,,(602) 494-1556,,
0018V00002k1p3yQAA,Partnership For Los Angeles Schools,1055 Wilshire Boulevard,Los Angeles,CA,90017,United States,,,,,,,,0128V000000WueSQAS,,(213) 201-2000,,
0018V00002k1qVJQAY,"R F Lafferty & Co, Inc.",40 Wall Street,New York,NY,10005,United States,40 Wall Street,New York,NY,10005,United States,,,0128V000000WuaQQAS,,(212) 542-8106,,
0018V00002k1w4wQAA,"CAS Equipment, LLC",,Brentwood,NY,11717,United States,,,,,,,,0128V000000WueSQAS,,(212) 542-8106,,
001Ui000001KlINIA0,Silverlake Conservatory Of Music,,,,,,,,,,,,,0128V000000WueSQAS,,,,
001Ui000001UKIWIA4,ABMM Financial,517 US 1,Woodbridge Township,NJ,08830,United States,517 US 1,Woodbridge Township,NJ,08830,United States,,,0128V000000WuaQQAS,,(732) 475-0340,,
001Ui000001UdY1IAK,"Hudson Shore Holdings, LLC",141 West Front Street Suite 310,Red Bank,NJ,07701,United States,,,,,,,,0128V000000WueSQAS,,(732) 372-0602,,
001Ui000001xKtTIAU,Mount Mercy Academy,,,,,,,,,,,,,0128V000000WueSQAS,,(716) 825-8796,,
001Ui000002VT4bIAG,"Design Point, Inc.",54 South Commerce Way,Bethlehem,PA,18017,United States,,,,,,,,0128V000000WueSQAS,,,,
001Ui000002gPIcIAM,River City Waste Recyclers,8940 Elder Creek Road,Sacramento,CA,95829,United States,,,,,,,,0128V000000WueSQAS,,(916) 705-4451,,
001Ui000002okpiIAA,Milpitas Christian School,1000 South Park Victoria Drive,Milpitas,CA,95035,United States,,,,,,,,0128V000000WueSQAS,,,,
001Ui0000034jUlIAI,Oakbourne Advisors,2 West Market Street,West Chester,PA,19382,United States,2 West Market Street,West Chester,PA,19382,United States,,,0128V000000WuaQQAS,,(610) 608-6341,,
001Ui0000034l9tIAA,Philip Jaisohn Memorial Foundation,6705 Old York Road,Philadelphia,PA,19126,United States,,,,,,,,0128V000000WueSQAS,,(215) 224-2000,,
001Ui0000034wF1IAI,Phil-Mont Christian Academy,35 East Hillcrest Avenue,Erdenheim,PA,19038,United States,,,,,,,,0128V000000WueSQAS,,(215) 233-0782,,
001Ui000003wK34IAE,Pioneers - USA,10123 William Carey Drive,Orlando,FL,32832,United States,,,,,,,,0128V000000WueSQAS,,,,
001Ui000004tsGnIAI,The Law Firm of Janice M. Iati PC,,,,,,,,,,,,,0128V000000WueSQAS,,,,
001Ui0000053of0IAA,The Howard School,,Atlanta,GA,30328,United States,,,,,,,,0128V000000WueSQAS,,(865) 291-3694,,
001Ui0000057K8nIAE,Paul Cygal Valued Customer,,,,,,,,,,,,,0128V000000WueSQAS,,,,
001Ui000005V1oCIAS,Ednovate,350 South Figueroa Street,Los Angeles,CA,90071,United States,,,,,,,,0128V000000WueSQAS,,(310) 204 6439,,
001Ui000005V3huIAC,TSA Consulting Group,15 Yacht Club Drive Northeast,Fort Walton Beach,FL,32548,United States,15 Yacht Club Drive Northeast,Fort Walton Beach,FL,32548,United States,,,0128V000000WuaXQAS,,(888) 777-5827,,
001Ui000005VeazIAC,New York Life,51 Madison Avenue,New York,NY,10010,United States,,,,,,,,0128V000000WuaQQAS,,,,
001Ui000005VjPNIA0,"Bethel Lutheran Home, Inc.",2280 Dockery Avenue,Selma,CA,93662,United States,,,,,,,,0128V000000WueSQAS,,(559) 819-1546x103,,
001Ui000005oG59IAE,Aintab Health,437 North Euclid Avenue,Ontario,CA,91762,United States,,,,,,,,0128V000000WueSQAS,,(330) 510-1051,,
001Ui0000077Wf5IAE,Carequest Institute For Oral Health,465 Medford Street,Boston,MA,02129,United States,,,,,,,,0128V000000WueSQAS,,(857) 214-0919,,
001Ui0000077cisIAA,Marsh & Mclennan Agency,3 Allied Drive,Dedham,MA,02026,United States,3 Allied Drive,Dedham,MA,02026,United States,,,0128V000000WuaQQAS,,(781) 467-4065,,
001Ui000007H7fNIAS,Spirit Of Faith Christian Center,2261 Oxon Run Drive,Temple Hills,MD,20748,United States,,,,,,,,0128V000000WueSQAS,,(301) 372-3585,,
